property_id,legacy_code,display_name,record_type,status,parent_property_id,project_legacy_code,unit_reference_hint,building_portal,floor_label,floor_level,building_door,updated_at,created_at
4c9c7fb5-3abe-400d-a2fb-a4625797cf64,PM0079-40,Unidad 40 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:17.609615+00:00,2026-02-18T11:45:28.249854+00:00
e35dda1c-88ce-4a83-bdac-003106b1f8de,PM0079-41,Unidad 41 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Planta 1,1,,2026-02-19T11:50:17.694831+00:00,2026-02-18T11:45:28.249854+00:00
afdfe94d-5e41-477f-bf07-1f69ff1fb840,PM0079-42,Unidad 42 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:17.784506+00:00,2026-02-18T11:45:28.249854+00:00
8e18c718-c39f-4760-a1c4-def0cfd273c0,PM0079-43,Unidad 43 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:17.888835+00:00,2026-02-18T11:45:28.249854+00:00
e86eab38-7e05-4c6c-aaed-82ed6e80de44,PM0079-44,Unidad 44 en Nylva Homes (Manilva),unit,sold,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:17.977005+00:00,2026-02-18T11:45:28.249854+00:00
2cc2256f-f205-4695-af6a-7f16d399ccd2,PM0079-45,Unidad 45 en Nylva Homes (Manilva),unit,available,2a898c8e-8018-4f5c-95d3-7011f81ada28,PM0079,,,Atico duplex,2,,2026-02-19T11:50:18.063803+00:00,2026-02-18T11:45:28.249854+00:00
31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,White Hills: obra nueva en Fuengirola - Mijas,project,available,,PM0084,,,,,,2026-02-19T12:32:13.509947+00:00,2026-02-18T11:45:28.385678+00:00
b63da893-b5e5-4a7c-af2e-5236e15229ba,PM0084-A1,Villa A1 en White Hills (Fuengirola - Mijas),unit,sold,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa A1,0,,2026-02-19T11:50:18.264547+00:00,2026-02-18T11:45:28.249854+00:00
aedc2383-f104-4cac-a06a-f47245df5dac,PM0084-A2,Villa A2 en White Hills (Fuengirola - Mijas),unit,sold,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa A2,0,,2026-02-19T11:50:18.34416+00:00,2026-02-18T11:45:28.249854+00:00
b879a008-5f3e-4880-ac29-c82d1a79e992,PM0084-A3,Villa A3 en White Hills (Fuengirola - Mijas),unit,available,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa A3,0,,2026-02-19T11:50:18.431427+00:00,2026-02-18T11:45:28.249854+00:00
caf56cc4-f1c5-47fc-b438-3c3ace3fa992,PM0084-A4,Villa A4 en White Hills (Fuengirola - Mijas),unit,sold,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa A4,0,,2026-02-19T11:50:18.531176+00:00,2026-02-18T11:45:28.249854+00:00
c814cde0-b57b-4e40-b53e-c160c23e1490,PM0084-A5,Villa A5 en White Hills (Fuengirola - Mijas),unit,available,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa A5,0,,2026-02-19T11:50:18.631023+00:00,2026-02-18T11:45:28.249854+00:00
2c7c9476-92df-458c-9c39-63b488bef4e2,PM0084-A6,Villa A6 en White Hills (Fuengirola - Mijas),unit,available,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa A6,0,,2026-02-19T11:50:18.717143+00:00,2026-02-18T11:45:28.249854+00:00
112b85f4-30b2-4078-baf9-77d69f7174f8,PM0084-B1,Villa B1 en White Hills (Fuengirola - Mijas),unit,available,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa B1,0,,2026-02-19T11:50:18.802816+00:00,2026-02-18T11:45:28.249854+00:00
67a296a9-4842-4164-ab46-105ebf4b6c58,PM0084-B2,Villa B2 en White Hills (Fuengirola - Mijas),unit,available,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa B2,0,,2026-02-19T11:50:18.880378+00:00,2026-02-18T11:45:28.249854+00:00
58456da7-f6e2-4dc0-b095-7a3073963670,PM0084-B3,Villa B3 en White Hills (Fuengirola - Mijas),unit,available,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa B3,0,,2026-02-19T11:50:18.964269+00:00,2026-02-18T11:45:28.249854+00:00
cd326703-fdca-4fe8-a63e-b95297d25914,PM0084-B4,Villa B4 en White Hills (Fuengirola - Mijas),unit,available,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa B4,0,,2026-02-19T11:50:19.043416+00:00,2026-02-18T11:45:28.249854+00:00
d06ef7ea-1045-4534-a7f2-59c15394a2f5,PM0084-B5,Villa B5 en White Hills (Fuengirola - Mijas),unit,available,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa B5,0,,2026-02-19T11:50:19.135938+00:00,2026-02-18T11:45:28.249854+00:00
857741b2-9324-409b-a7c5-027a3a8d305c,PM0084-B6,Villa B6 en White Hills (Fuengirola - Mijas),unit,available,31eeade6-c4e8-4157-92b2-62feef14872a,PM0084,,,Villa B6,0,,2026-02-19T11:50:19.215349+00:00,2026-02-18T11:45:28.385678+00:00
